Customer ID,First Name,Last Name,Date of Birth,Country,Education,Annual Income,Marital Status,Gender,Date of First Transaction,Exited,IsActiveMember,Account Balance,Current Account,Saving Account,Mortgage,Credit Score,Has Credit Card,Number of Complaints,Satisfaction Score
1000001,Kimberly,Macias,1947-05-08,UK,Bachelor,178399.86,Single with Partner,Male,2008-10-19,No,No,131719.14,No,No,No,836,No,2,4.01
1000002,Brandon,Shaffer,1949-01-01,Canada,Bachelor,134760.96,Married,Male,2021-07-02,No,Yes,241877.38,Yes,Yes,No,493,Yes,4,4.77
1000003,Samantha,French,1975-11-13,Germany,GCSE,57277.41,Divorced,Male,2006-04-08,Yes,No,67356.95,No,No,No,418,Yes,2,1.07
1000004,Luis,Case,2003-06-14,USA,Bachelor,173062.45,Single,Male,2006-07-06,No,Yes,142780.06,No,No,No,514,No,1,1.71
1000005,Anthony,Martinez,1964-12-14,UK,Bachelor,158567.15,Married,Male,2009-05-24,No,No,95635.53,No,No,No,408,No,14,3.64
1000006,Jason,Hayes,1965-03-01,UK,Master,179085.68,Single with Partner,Male,2006-01-18,No,No,105731.15,No,No,Yes,756,No,11,3.17
1000007,Amy,Moore,1975-03-20,UK,GCSE,116275.96,Single with Partner,Male,2023-05-27,Yes,No,14267.54,No,No,No,450,Yes,0,3.87
1000008,Robert,Adams,2005-06-24,Germany,Master,129323.74,Married,Male,2019-01-04,No,Yes,172237.87,No,No,Yes,815,Yes,9,2.55
1000009,Julia,Moore,1995-03-14,USA,Master,176765.42,Single with Partner,Male,2018-02-08,No,Yes,49143.24,No,Yes,No,711,Yes,1,2.41
1000010,Shannon,Rice,1959-08-22,Germany,Master,138427.53,Married,Male,2023-05-24,No,Yes,117334.83,No,Yes,Yes,661,No,7,3.8
1000011,Scott,Lopez,1995-09-12,UK,Doctorate,153158.14,Married,Female,2009-07-07,No,No,108793.7,Yes,No,Yes,736,Yes,4,2.63
1000012,Rebecca,Briggs,2005-09-12,Canada,Master,122629.02,Single with Partner,Male,2016-05-21,No,No,117248.02,Yes,Yes,Yes,562,Yes,17,2.04
1000013,Cody,Dyer,2003-06-02,Germany,Doctorate,130872.59,Divorced,Female,2003-01-01,No,Yes,94136.28,Yes,Yes,No,656,No,1,2.21
1000014,Leslie,Carter,1949-08-22,UK,Bachelor,145582.18,Single with Partner,Female,2002-03-21,No,No,60899.4,Yes,Yes,No,490,No,20,1.88
1000015,Joseph,Gonzalez,1983-01-13,UK,Bachelor,147358.86,Married,Male,2014-11-28,Yes,No,112399.03,Yes,No,Yes,539,Yes,17,1.04
1000016,Pamela,Thompson,1984-09-23,UK,GCSE,110360.18,Single with Partner,Male,2002-08-17,No,Yes,11936.39,No,Yes,Yes,626,No,12,3.77
1000017,Deborah,Green,1993-09-13,UK,GCSE,95214.04,Single,Male,2022-09-10,No,No,60883.71,No,No,No,832,Yes,8,3.94
1000018,Crystal,Rodriguez,1977-07-13,USA,GCSE,117329.56,Single,Male,2014-02-04,No,No,196298.15,No,Yes,Yes,784,Yes,5,4.17
1000019,Anthony,Whitehead,1996-06-28,USA,GCSE,81510.86,Single with Partner,Male,2011-02-18,No,Yes,210767.97,Yes,No,No,563,Yes,15,1.72
1000020,Laura,Wade,1953-08-10,UK,GCSE,47204.52,Married,Female,2019-09-05,Yes,No,178941.21,No,No,No,429,No,14,4.66
1000021,Jeffrey,Hughes,1945-03-22,USA,GCSE,55454.88,Divorced,Male,2003-12-11,No,Yes,158287.98,Yes,No,No,832,Yes,19,2.33
1000022,Kathy,Graves,1966-11-15,UK,GCSE,54704.25,Married,Female,2020-06-13,No,No,202891.93,Yes,Yes,No,447,No,14,4.58
1000023,Matthew,Mills,1971-04-17,UK,Doctorate,146119.55,Married,Female,2007-12-26,No,Yes,32306.6,Yes,No,Yes,503,No,8,2.09
1000024,Ralph,Noble,1966-10-30,UK,GCSE,88604.56,Single with Partner,Female,2015-11-13,No,No,131503.43,No,Yes,No,686,Yes,5,1.17
1000025,Katherine,Cline,1963-02-16,USA,Master,162464.63,Single with Partner,Male,2008-08-19,Yes,No,29432.39,Yes,No,No,365,No,15,3.07
1000026,Traci,Stone,1994-06-14,Germany,GCSE,61000.72,Married,Male,2016-05-10,No,No,194555.37,No,Yes,Yes,409,Yes,10,3.12
1000027,Tracy,Taylor,1949-11-27,UK,Doctorate,131927.18,Single,Male,2003-07-01,No,Yes,130330.87,No,No,Yes,697,No,20,4.6
1000028,Michael,Hall,1953-10-23,USA,Doctorate,121771.13,Single with Partner,Male,2003-02-10,No,Yes,202582.21,No,Yes,No,488,No,12,3.68
1000029,Jerry,Greer,1996-06-04,USA,Master,137506.77,Married,Female,2000-08-08,Yes,No,199846.23,No,No,No,711,No,2,4.31
1000030,James,Mueller,1982-11-08,UK,Master,128597.71,Single,Male,2017-04-12,No,Yes,116766.61,Yes,No,Yes,627,No,12,4.41
1000031,Renee,Rodriguez,1972-12-15,USA,GCSE,99402.72,Single with Partner,Male,2009-01-20,No,Yes,124419.82,Yes,No,No,548,Yes,15,2.95
1000032,Kayla,Espinoza,1950-07-02,UK,Doctorate,128999.84,Single,Female,2002-10-19,Yes,No,7455.57,No,Yes,Yes,841,Yes,3,4.63
1000033,Richard,Tapia,1993-04-14,UK,Master,177938.26,Divorced,Male,2022-05-19,No,Yes,131068.92,Yes,Yes,No,700,No,2,3.89
1000034,James,Smith,1955-08-06,Canada,Doctorate,150852.7,Single with Partner,Female,2016-09-21,No,No,169495.21,Yes,Yes,No,547,Yes,15,1.44
1000035,Adrienne,Lucas,1945-12-16,Canada,Master,125870.27,Divorced,Male,2005-12-04,No,Yes,58720.46,No,Yes,Yes,585,No,6,2.0
1000036,Karen,Moore,1979-10-16,Germany,Bachelor,185018.4,Married,Male,2023-09-16,No,No,246637.18,No,Yes,No,681,No,8,1.41
1000037,Gina,Mccarthy,1977-05-27,UK,Doctorate,166370.45,Divorced,Female,2007-01-02,Yes,No,243717.29,No,No,Yes,315,Yes,18,3.33
1000038,Darlene,Davis,1954-11-09,UK,Bachelor,138860.92,Single,Female,2023-01-25,No,No,70994.52,No,Yes,Yes,317,No,12,1.89
1000039,Brandon,Cain,1980-10-21,USA,Bachelor,191574.49,Single,Male,2005-02-13,No,Yes,178358.12,Yes,No,No,466,No,0,4.77
1000040,Tammy,Jones,1998-04-30,USA,GCSE,28344.8,Single,Male,2002-07-20,No,Yes,7888.42,Yes,Yes,No,787,Yes,5,4.57
1000041,Robert,Ward,1999-11-23,UK,Doctorate,136145.57,Married,Male,2013-04-02,No,No,166571.88,Yes,Yes,Yes,344,No,7,4.18
1000042,Cody,Ellis,2002-05-22,USA,GCSE,96196.51,Single,Female,2017-01-14,No,Yes,156154.52,Yes,No,Yes,335,Yes,5,4.51
1000043,Stephanie,Mccormick,1990-03-03,UK,GCSE,92100.28,Married,Female,2006-08-20,Yes,No,205611.05,No,Yes,No,800,Yes,15,4.37
1000044,Brendan,Thompson,1972-03-10,Canada,Bachelor,143141.74,Married,Male,2003-12-14,No,Yes,76369.52,No,Yes,Yes,746,Yes,20,1.7
1000045,Justin,Moody,1969-08-25,UK,Master,124961.99,Married,Male,2018-05-27,No,Yes,219551.33,Yes,No,No,516,No,5,1.36
